beat_id,beat
1,111
2,112
3,113
4,114
5,121
6,122
7,123
8,124
9,131
10,132
11,133
12,134
13,211
14,212
15,213
16,214
17,215
18,221
19,222
20,223
21,224
22,225
23,231
24,232
25,233
26,234
27,235
28,311
29,312
30,313
31,314
32,321
33,322
34,323
35,324
36,331
37,332
38,333
39,334
40,411
41,412
42,413
43,414
44,421
45,422
46,423
47,424
48,431
49,432
50,433
51,434
52,511
53,512
54,513
55,522
56,523
57,524
58,531
59,532
60,533
61,611
62,612
63,613
64,614
65,621
66,622
67,623
68,624
69,631
70,632
71,633
72,634
73,711
74,712
75,713
76,714
77,715
78,722
79,723
80,724
81,725
82,726
83,731
84,732
85,733
86,734
87,735
88,811
89,812
90,813
91,814
92,815
93,821
94,822
95,823
96,824
97,825
98,831
99,832
100,833
101,834
102,835
103,911
104,912
105,913
106,914
107,915
108,921
109,922
110,923
111,924
112,925
113,931
114,932
115,933
116,934
117,935
118,1011
119,1012
120,1013
121,1014
122,1021
123,1022
124,1023
125,1024
126,1031
127,1032
128,1033
129,1034
130,1111
131,1112
132,1113
133,1114
134,1115
135,1121
136,1122
137,1123
138,1124
139,1125
140,1131
141,1132
142,1133
143,1134
144,1135
145,1211
146,1212
147,1213
148,1214
149,1215
150,1221
151,1222
152,1223
153,1224
154,1225
155,1231
156,1232
157,1233
158,1234
159,1235
160,1311
161,1312
162,1313
163,1322
164,1323
165,1324
166,1331
167,1332
168,1333
169,1411
170,1412
171,1413
172,1414
173,1421
174,1422
175,1423
176,1424
177,1431
178,1432
179,1433
180,1434
181,1511
182,1512
183,1513
184,1522
185,1523
186,1524
187,1531
188,1532
189,1533
190,1611
191,1612
192,1613
193,1614
194,1621
195,1622
196,1623
197,1624
198,1631
199,1632
200,1633
201,1634
202,1651
203,1652
204,1653
205,1654
206,1655
207,1711
208,1712
209,1713
210,1722
211,1723
212,1724
213,1731
214,1732
215,1733
216,1811
217,1812
218,1813
219,1814
220,1821
221,1822
222,1823
223,1824
224,1831
225,1832
226,1833
227,1834
228,1911
229,1912
230,1913
231,1914
232,1915
233,1921
234,1922
235,1923
236,1924
237,1925
238,1931
239,1932
240,1933
241,1934
242,1935
243,2011
244,2012
245,2013
246,2022
247,2023
248,2024
249,2031
250,2032
251,2033
252,2111
253,2112
254,2113
255,2122
256,2123
257,2124
258,2131
259,2132
260,2133
261,2211
262,2212
263,2213
264,2221
265,2222
266,2223
267,2232
268,2233
269,2234
270,2311
271,2312
272,2313
273,2322
274,2323
275,2324
276,2331
277,2332
278,2333
279,2411
280,2412
281,2413
282,2422
283,2423
284,2424
285,2431
286,2432
287,2433
288,2511
289,2512
290,2513
291,2514
292,2515
293,2521
294,2522
295,2523
296,2524
297,2525
298,2531
299,2532
300,2533
301,2534
302,2535
