loc_id,location
1,ABANDONED BUILDING
2,AIRCRAFT
3,AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA
4,AIRPORT BUILDING NON-TERMINAL - SECURE AREA
5,AIRPORT EXTERIOR - NON-SECURE AREA
6,AIRPORT EXTERIOR - SECURE AREA
7,AIRPORT PARKING LOT
8,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA
9,AIRPORT TERMINAL LOWER LEVEL - SECURE AREA
10,AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA
11,AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA
12,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA
13,AIRPORT TRANSPORTATION SYSTEM (ATS)
14,AIRPORT VENDING ESTABLISHMENT
15,AIRPORT/AIRCRAFT
16,ALLEY
17,ANIMAL HOSPITAL
18,APARTMENT
19,APPLIANCE STORE
20,ATHLETIC CLUB
21,ATM (AUTOMATIC TELLER MACHINE)
22,BANK
23,BAR OR TAVERN
24,BARBERSHOP
25,BOAT/WATERCRAFT
26,BOWLING ALLEY
27,BRIDGE
28,CAR WASH
29,CEMETARY
30,CHA APARTMENT
31,CHA HALLWAY/STAIRWELL/ELEVATOR
32,CHA PARKING LOT/GROUNDS
33,CHURCH/SYNAGOGUE/PLACE OF WORSHIP
34,CLEANING STORE
35,COIN OPERATED MACHINE
36,COLLEGE/UNIVERSITY GROUNDS
37,COLLEGE/UNIVERSITY RESIDENCE HALL
38,COMMERCIAL / BUSINESS OFFICE
39,CONSTRUCTION SITE
40,CONVENIENCE STORE
41,CREDIT UNION
42,CTA BUS
43,CTA BUS STOP
44,CTA GARAGE / OTHER PROPERTY
45,CTA PLATFORM
46,CTA TRAIN
47,CURRENCY EXCHANGE
48,DAY CARE CENTER
49,DELIVERY TRUCK
50,DEPARTMENT STORE
51,DRIVEWAY - RESIDENTIAL
52,DRUG STORE
53,FACTORY/MANUFACTURING BUILDING
54,FEDERAL BUILDING
55,FIRE STATION
56,FOREST PRESERVE
57,GAS STATION
58,GOVERNMENT BUILDING/PROPERTY
59,GROCERY FOOD STORE
60,HIGHWAY/EXPRESSWAY
61,HOSPITAL BUILDING/GROUNDS
62,HOTEL/MOTEL
63,JAIL / LOCK-UP FACILITY
64,LAKEFRONT/WATERFRONT/RIVERBANK
65,LIBRARY
66,MEDICAL/DENTAL OFFICE
67,MOVIE HOUSE/THEATER
68,NEWSSTAND
69,NURSING HOME/RETIREMENT HOME
70,OTHER
71,OTHER COMMERCIAL TRANSPORTATION
72,OTHER RAILROAD PROP / TRAIN DEPOT
73,PARK PROPERTY
74,PARKING LOT/GARAGE(NON.RESID.)
75,PAWN SHOP
76,POLICE FACILITY/VEH PARKING LOT
77,POOL ROOM
78,RESIDENCE
79,RESIDENCE PORCH/HALLWAY
80,RESIDENCE-GARAGE
81,RESIDENTIAL YARD (FRONT/BACK)
82,RESTAURANT
83,SAVINGS AND LOAN
84,"SCHOOL, PRIVATE, BUILDING"
85,"SCHOOL, PRIVATE, GROUNDS"
86,"SCHOOL, PUBLIC, BUILDING"
87,"SCHOOL, PUBLIC, GROUNDS"
88,SIDEWALK
89,SMALL RETAIL STORE
90,SPORTS ARENA/STADIUM
91,STREET
92,TAVERN/LIQUOR STORE
93,TAXICAB
94,VACANT LOT/LAND
95,VEHICLE NON-COMMERCIAL
96,VEHICLE-COMMERCIAL
97,WAREHOUSE
